Наименование;Бренд;Линейка;Категория;Количество;Сумма
ШАМПУНЬ 380МЛ ЛЕГК_СТЬ ТА ДОГЛЯД 3305100000,;SCHAUMA;Шампунь;Уход за волосами;125;1490
ШАМПУНЬ 225МЛ ДЛЯ ЧОЛОВ_К_В З ХМЕЛЕМ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;6;38,16
ДЕЗ.СТ_К XTREME SPORTS 50МЛ 3307200000,;FA;FA-MEN XTREME;Дезодорант-стик;15;233,85
ГЕЛЬ ДЛЯ УКЛАДКИ MAX HOLD 250МЛ 3305909000,;SYOSS;Гель для укладки;Стайлинг;179;4240,51
SPORT DOUBLE POWER SPORTY FRESH 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;70;716,8
SENSUAL&OIL КВ_ТКА Т_АРЕ 90Г 3401110000,;FA;FA-мыло;Мыло;433;1324,98
N7 РУСЯВИЙ 3305909000,;PALETTE;PALETTE;Краска;94;1068,78
G4 КАКАО 3305909000,;PALETTE;PALETTE;Краска;645;9030
880 ТЕМНИЙ КАШТАН 3305909000,;BRILLANCE;BRILLANCE;Краска;40;1113,2
700 КАШТАНОВИЙ 3305909000,;PALETTE;Фитолиния;Краска;11;125,07
6-0 ТЕМНО-РУСЯВИЙ 3305909000,;PALETTE; SALON COLORS;Краска;324;6386,04
500 ТЕМНО-РУСЯВИЙ 3305909000,;PALETTE;Фитолиния;Краска;29;403,97
5.БАЛЬЗАМ NUTRITION OIL Д/ДОВГ.,ПОС_Ч.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;248;4305,28
5.БАЛЬЗАМ NUTRITION OIL Д/ДОВГ.,ПОС_Ч.ВОЛ. 500МЛ 3305909000,;SYOSS;Бальзам;Уход за волосами;-1;-18,15
460 ЗОЛОТИСТИЙ БЛОНДИН 3305909000,;PALETTE;Фитолиния;Краска;3;41,79
4152 ФОРМУЛА МОЛОДОСТ_ Н_ЧНИЙ КРЕМ 50МЛ 3304990000,;DIADEMINE;LIFT+ DR.CASPARI;Уход за кожей;-6;-294,66
"12.""ОЛ_Я МАРАКЕШ _ КОКОС"" МУС-ДОГЛЯД 125МЛ 3305909000,";GLISS KUR;Мусс-уход;Уход за волосами;21;511,98
1-1 ЧОРНИЙ 3305909000,;SYOSS;PRONATURE;Краска;56;1482,88
ШАМПУНЬ 380МЛ З ОЛ_ЄЮ АРГАНА 3305100000,;SCHAUMA;Шампунь;Уход за волосами;645;7920,6
ШАМПУНЬ 225МЛ БЛИСК КОЛЬОРУ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;6;38,16
ЧУДОВ_ МОМЕНТИ (ГОЛУБОЙ) 150МЛ 3307200000,;FA;FA-дез-аэрозоль;Дезодорант-аэрозоль;29;373,23
