Наименование;Бренд;Линейка;Категория;Количество;Сумма;Общая Стоимость
1010 ПЕРЛИННИЙ БЛОНД 3305909000,;COLOR MASK;COLOR MASK;Краска;1287;47438;6.10527e+07
400 ТЕМНИЙ ШОКОЛАД 3305909000,;COLOR MASK;COLOR MASK;Краска;855;31515;2.69453e+07
4.ШАМПУНЬ VOLUME LIFT Д/ТОНК.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;1330;27531;3.66162e+07
300 ЧОРНО-КАШТАНОВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;708;26096;1.8476e+07
"11.ШАМПУНЬ SILICONE FREE ""КОЛ_Р _ ОБ`ЄМ"" 500МЛ 3305100000,";SYOSS;Шампунь;Уход за волосами;1160;24012;2.78539e+07
100 ЧОРНИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;639;23553;1.50504e+07
"1.""Р_ДКИЙ ШОВК"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000,";GLISS KUR;Экспресс-кондиционер;Уход за волосами;1008;22861;2.30439e+07
13.ШАМПУНЬ OLEO INTENSE Д/СУХ.,ЛАМК.ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;1080;22356;2.41445e+07
6.ШАМПУНЬ ANTI-DANDRUFF CONTROL ПРОТИ ЛУПИ 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;1063;22004;2.33903e+07
"4.""NUTRITIVE"" ДОВГ.ВОЛ. ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000";GLISS KUR;Экспресс-кондиционер;Уход за волосами;962;21818;2.09889e+07
"1.""Р_ДКИЙ ШОВК"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;1413;20813;2.94088e+07
"12.ШАМПУНЬ SILICONE FREE ""В_ДНОВЛЕННЯ ТА СИЛА"" 500МЛ 3305100";SYOSS;Шампунь;Уход за волосами;951;19685;1.87204e+07
