Бренд;Категория;Количество;Сумма
GLISS KUR;Шампунь;2;38
SEBORIN;Уход за волосами;166;2571
FA;Лосьойон для тела;292;4671
FA;Пена для ванны;554;12169
FA;Дезодорант-стик;760;11303
FA;Жидкое мыло;1109;13137
FAЬ;Дезодорант-аэрозоль;1228;16110
DIADEMINE;Уход за кожей;1909;60934
PERFECT MOUSSE;Краска;3438;118209
BRILLANCE;Краска;4045;113860
SYOSS;Стайлинг;4877;112089
FA;Дезодорант-аэрозоль;5544;69919
FA;Дезодорант-шариковый;6727;66024
FA;Мыло;8278;24890
COLOR MASK;Краска;9100;314254
SYOSS;Краска;9143;247385
FA;Гель для душа;17105;191639
SYOSS;Уход за волосами;17396;363847
GLISS KUR;Уход за волосами;31045;530285
SCHAUMA;Уход за волосами;33506;344022
PALETTE;Краска;52892;762441
